original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,degree,label
Did Davies and Baran collaborate at any point after they both developed this concept,Did Davies and Baran propose  instead collaborate at any point after they both developed this concept,"['Did', 'Davies', 'and', 'Baran', 'propose', 'instead', 'collaborate', 'at', 'any', 'point', 'after', 'they', 'both', 'developed', 'this', 'concept']","['Did', 'Davies', 'and', 'Baran', 'collaborate', 'at', 'any', 'point', 'after', 'they', 'both', 'developed', 'this', 'concept']",Who voted against Jacksonvilles Did Davies and Baran collaborate at any point after they both developed this concept,"['Did', 'Davies', 'and', 'Baran', 'collaborate', 'at', 'any', 'point', 'after', 'they', 'both', 'developed', 'this', 'concept']","['Who', 'voted', 'against', 'Jacksonvilles', 'Did', 'Davies', 'and', 'Baran', 'collaborate', 'at', 'any', 'point', 'after', 'they', 'both', 'developed', 'this', 'concept']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is another type of public key cryptography algorithm,Which is or no rather what is another type of public key cryptography algorithm,"['Which', 'is', 'or', 'no', 'rather', 'what', 'is', 'another', 'type', 'of', 'public', 'key', 'cryptography', 'algorithm']","['What', 'is', 'another', 'type', 'of', 'public', 'key', 'cryptography', 'algorithm']",When do bathyctena What is another type of public key cryptography algorithm,"['What', 'is', 'another', 'type', 'of', 'public', 'key', 'cryptography', 'algorithm']","['When', 'do', 'bathyctena', 'What', 'is', 'another', 'type', 'of', 'public', 'key', 'cryptography', 'algorithm']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
The Second Minister Scottish cabinet ministers and whom sit in the front row in the debating chamber,Why is the seating arrangement no no no the Second Minister Scottish cabinet ministers and whom sit in the front row in the debating chamber,"['Why', 'is', 'the', 'seating', 'arrangement', 'no', 'no', 'no', 'the', 'Second', 'Minister', 'Scottish', 'cabinet', 'ministers', 'and', 'whom', 'sit', 'in', 'the', 'front', 'row', 'in', 'the', 'debating', 'chamber']","['The', 'Second', 'Minister', 'Scottish', 'cabinet', 'ministers', 'and', 'whom', 'sit', 'in', 'the', 'front', 'row', 'in', 'the', 'debating', 'chamber']",Survivial is at The Second Minister Scottish cabinet ministers and whom sit in the front row in the debating chamber,"['The', 'Second', 'Minister', 'Scottish', 'cabinet', 'ministers', 'and', 'whom', 'sit', 'in', 'the', 'front', 'row', 'in', 'the', 'debating', 'chamber']","['Survivial', 'is', 'at', 'The', 'Second', 'Minister', 'Scottish', 'cabinet', 'ministers', 'and', 'whom', 'sit', 'in', 'the', 'front', 'row', 'in', 'the', 'debating', 'chamber']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Why is the Holocene not shown clearly on the first timeline,Why is the Holocene not shown clearly on the first scale or  timeline,"['Why', 'is', 'the', 'Holocene', 'not', 'shown', 'clearly', 'on', 'the', 'first', 'scale', 'or', 'timeline']","['Why', 'is', 'the', 'Holocene', 'not', 'shown', 'clearly', 'on', 'the', 'first', 'timeline']",Whats one Why is the Holocene not shown clearly on the first timeline,"['Why', 'is', 'the', 'Holocene', 'not', 'shown', 'clearly', 'on', 'the', 'first', 'timeline']","['Whats', 'one', 'Why', 'is', 'the', 'Holocene', 'not', 'shown', 'clearly', 'on', 'the', 'first', 'timeline']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What did the ongoing Alpine orogeny cause before the Eocene,What did the ongoing Upper Rhine  rather Alpine orogeny cause before the Eocene,"['What', 'did', 'the', 'ongoing', 'Upper', 'Rhine', 'rather', 'Alpine', 'orogeny', 'cause', 'before', 'the', 'Eocene']","['What', 'did', 'the', 'ongoing', 'Alpine', 'orogeny', 'cause', 'before', 'the', 'Eocene']",When wasnt What did the ongoing Alpine orogeny cause before the Eocene,"['What', 'did', 'the', 'ongoing', 'Alpine', 'orogeny', 'cause', 'before', 'the', 'Eocene']","['When', 'wasnt', 'What', 'did', 'the', 'ongoing', 'Alpine', 'orogeny', 'cause', 'before', 'the', 'Eocene']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
In 2009 what was the total of Grants awarded from Harvard,In 2008 what was the total of Grants awarded from Harvard no  2009,"['In', '2008', 'what', 'was', 'the', 'total', 'of', 'Grants', 'awarded', 'from', 'Harvard', 'no', '2009']","['In', '2009', 'what', 'was', 'the', 'total', 'of', 'Grants', 'awarded', 'from', 'Harvard']",What allows for responses In 2009 what was the total of Grants awarded from Harvard,"['In', '2009', 'what', 'was', 'the', 'total', 'of', 'Grants', 'awarded', 'from', 'Harvard']","['What', 'allows', 'for', 'responses', 'In', '2009', 'what', 'was', 'the', 'total', 'of', 'Grants', 'awarded', 'from', 'Harvard']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Why arent the examples of bouregois architecture visible today,Why is no why arent the examples of bouregois architecture visible today,"['Why', 'is', 'no', 'why', 'arent', 'the', 'examples', 'of', 'bouregois', 'architecture', 'visible', 'today']","['Why', 'arent', 'the', 'examples', 'of', 'bouregois', 'architecture', 'visible', 'today']",What does Why arent the examples of bouregois architecture visible today,"['Why', 'arent', 'the', 'examples', 'of', 'bouregois', 'architecture', 'visible', 'today']","['What', 'does', 'Why', 'arent', 'the', 'examples', 'of', 'bouregois', 'architecture', 'visible', 'today']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Global internet was help funded by what foundation ,CSNet no no I meant Global internet was help funded by what foundation,"['CSNet', 'no', 'no', 'I', 'meant', 'Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']","['Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']",What area Global internet was help funded by what foundation,"['Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']","['What', 'area', 'Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Public and private funding led to what development ,Public and private funding led to what program no um development,"['Public', 'and', 'private', 'funding', 'led', 'to', 'what', 'program', 'no', 'um', 'development']","['Public', 'and', 'private', 'funding', 'led', 'to', 'what', 'development']",What cells undergo slow Public and private funding led to what development,"['Public', 'and', 'private', 'funding', 'led', 'to', 'what', 'development']","['What', 'cells', 'undergo', 'slow', 'Public', 'and', 'private', 'funding', 'led', 'to', 'what', 'development']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How did the black death make it to the Mediterranean and Europe,How did the black death make it to the Mediterranean and America oops I mean Europe,"['How', 'did', 'the', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'America', 'oops', 'I', 'mean', 'Europe']","['How', 'did', 'the', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'Europe']",Other than the Ijssel How did the black death make it to the Mediterranean and Europe,"['How', 'did', 'the', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'Europe']","['Other', 'than', 'the', 'Ijssel', 'How', 'did', 'the', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'Europe']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Which Universitys library system has over 10 millionvolumes,What collection no sorry I mean which Universitys library system has over 10 million volumes,"['What', 'collection', 'no', 'sorry', 'I', 'mean', 'which', 'Universitys', 'library', 'system', 'has', 'over', '10', 'million', 'volumes']","['Which', 'Universitys', 'library', 'system', 'has', 'over', '10', 'millionvolumes']",Where were Which Universitys library system has over 10 millionvolumes,"['Which', 'Universitys', 'library', 'system', 'has', 'over', '10', 'millionvolumes']","['Where', 'were', 'Which', 'Universitys', 'library', 'system', 'has', 'over', '10', 'millionvolumes']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the process by which the antigenantibody complex is processed in to peptides,What is the process by which the antigenantibody complex is binding no I mean processed in to peptides,"['What', 'is', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'binding', 'no', 'I', 'mean', 'processed', 'in', 'to', 'peptides']","['What', 'is', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'processed', 'in', 'to', 'peptides']",For many centuries what was the What is the process by which the antigenantibody complex is processed in to peptides,"['What', 'is', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'processed', 'in', 'to', 'peptides']","['For', 'many', 'centuries', 'what', 'was', 'the', 'What', 'is', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'processed', 'in', 'to', 'peptides']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What type of network does SITA HLN not use,What type of network does ARPANET no make that SITA HLN not use,"['What', 'type', 'of', 'network', 'does', 'ARPANET', 'no', 'make', 'that', 'SITA', 'HLN', 'not', 'use']","['What', 'type', 'of', 'network', 'does', 'SITA', 'HLN', 'not', 'use']",How many members are What type of network does SITA HLN not use,"['What', 'type', 'of', 'network', 'does', 'SITA', 'HLN', 'not', 'use']","['How', 'many', 'members', 'are', 'What', 'type', 'of', 'network', 'does', 'SITA', 'HLN', 'not', 'use']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What gets smaller when a number is prime,What gets smaller when a number is global m prime,"['What', 'gets', 'smaller', 'when', 'a', 'number', 'is', 'global', 'm', 'prime']","['What', 'gets', 'smaller', 'when', 'a', 'number', 'is', 'prime']",Pattern recognition receptors recognize What gets smaller when a number is prime,"['What', 'gets', 'smaller', 'when', 'a', 'number', 'is', 'prime']","['Pattern', 'recognition', 'receptors', 'recognize', 'What', 'gets', 'smaller', 'when', 'a', 'number', 'is', 'prime']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
After which decade did modern styles give way to Gothic styles on campus,After which decade did Ludwig Mies van der Rohe excuse me I mean modern styles give way to Gothic styles on campus,"['After', 'which', 'decade', 'did', 'Ludwig', 'Mies', 'van', 'der', 'Rohe', 'excuse', 'me', 'I', 'mean', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'campus']","['After', 'which', 'decade', 'did', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'campus']",Tho Turabi After which decade did modern styles give way to Gothic styles on campus,"['After', 'which', 'decade', 'did', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'campus']","['Tho', 'Turabi', 'After', 'which', 'decade', 'did', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'campus']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What was intent of Celerons expedition,How did  sorry What was intent of Celerons expedition,"['How', 'did', 'sorry', 'What', 'was', 'intent', 'of', 'Celerons', 'expedition']","['What', 'was', 'intent', 'of', 'Celerons', 'expedition']",How accurate did What was intent of Celerons expedition,"['What', 'was', 'intent', 'of', 'Celerons', 'expedition']","['How', 'accurate', 'did', 'What', 'was', 'intent', 'of', 'Celerons', 'expedition']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What do partnering and construction management emphasize for the designbuild process,What helpser er what do partnering and construction management emphasize for the designbuild process,"['What', 'helpser', 'er', 'what', 'do', 'partnering', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']","['What', 'do', 'partnering', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']",In 2010 what did the average What do partnering and construction management emphasize for the designbuild process,"['What', 'do', 'partnering', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']","['In', '2010', 'what', 'did', 'the', 'average', 'What', 'do', 'partnering', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What are the first buildings the university built knows as today,Which or rather what are the first buildings the university built knows as today,"['Which', 'or', 'rather', 'what', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'today']","['What', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'today']",The Maroons are apart of What are the first buildings the university built knows as today,"['What', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'today']","['The', 'Maroons', 'are', 'apart', 'of', 'What', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'today']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the group called that does not agree with government at all,What do  no What is the group called that does not agree with government at all,"['What', 'do', 'no', 'What', 'is', 'the', 'group', 'called', 'that', 'does', 'not', 'agree', 'with', 'government', 'at', 'all']","['What', 'is', 'the', 'group', 'called', 'that', 'does', 'not', 'agree', 'with', 'government', 'at', 'all']",Who said people involved in the ozone situation had a What is the group called that does not agree with government at all,"['What', 'is', 'the', 'group', 'called', 'that', 'does', 'not', 'agree', 'with', 'government', 'at', 'all']","['Who', 'said', 'people', 'involved', 'in', 'the', 'ozone', 'situation', 'had', 'a', 'What', 'is', 'the', 'group', 'called', 'that', 'does', 'not', 'agree', 'with', 'government', 'at', 'all']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Brownlee argues disobedience can be justified toward what institutions,Brownlee argues opposition or maybe disobedience can be justified toward what institutions,"['Brownlee', 'argues', 'opposition', 'or', 'maybe', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institutions']","['Brownlee', 'argues', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institutions']",George C Walker served as trustee Brownlee argues disobedience can be justified toward what institutions,"['Brownlee', 'argues', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institutions']","['George', 'C', 'Walker', 'served', 'as', 'trustee', 'Brownlee', 'argues', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institutions']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Building printing is making it possible to flexibly construct small commercial buildings and private habitations in what amount of time,Building printing is being researched or rather making it possible to flexibly construct small commercial buildings and private habitations in what amount of time,"['Building', 'printing', 'is', 'being', 'researched', 'or', 'rather', 'making', 'it', 'possible', 'to', 'flexibly', 'construct', 'small', 'commercial', 'buildings', 'and', 'private', 'habitations', 'in', 'what', 'amount', 'of', 'time']","['Building', 'printing', 'is', 'making', 'it', 'possible', 'to', 'flexibly', 'construct', 'small', 'commercial', 'buildings', 'and', 'private', 'habitations', 'in', 'what', 'amount', 'of', 'time']",NSF began Building printing is making it possible to flexibly construct small commercial buildings and private habitations in what amount of time,"['Building', 'printing', 'is', 'making', 'it', 'possible', 'to', 'flexibly', 'construct', 'small', 'commercial', 'buildings', 'and', 'private', 'habitations', 'in', 'what', 'amount', 'of', 'time']","['NSF', 'began', 'Building', 'printing', 'is', 'making', 'it', 'possible', 'to', 'flexibly', 'construct', 'small', 'commercial', 'buildings', 'and', 'private', 'habitations', 'in', 'what', 'amount', 'of', 'time']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
