original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
In 2009 what was the total of Grants awarded from Harvard,In 2008 what was the total of Grants awarded from Harvard no  2009,"['In', '2008', 'what', 'was', 'the', 'total', 'of', 'Grants', 'awarded', 'from', 'Harvard', 'no', '2009']","['In', '2009', 'what', 'was', 'the', 'total', 'of', 'Grants', 'awarded', 'from', 'Harvard']",In 2009 what was the total of grant wait a minute of Grants awarded from Harvard,"['In', '2009', 'what', 'was', 'the', 'total', 'of', 'Grants', 'awarded', 'from', 'Harvard']","['In', '2009', 'what', 'was', 'the', 'total', 'of', 'grant', 'wait', 'a', 'minute', 'of', 'Grants', 'awarded', 'from', 'Harvard']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What has it now become possible to do when dating isotopes while using fossils,What has it now become possible let me rephrase what is now possible regarding dating isotopes while using fossils,"['What', 'has', 'it', 'now', 'become', 'possible', 'let', 'me', 'rephrase', 'what', 'is', 'now', 'possible', 'regarding', 'dating', 'isotopes', 'while', 'using', 'fossils']","['What', 'has', 'it', 'now', 'become', 'possible', 'to', 'do', 'when', 'dating', 'isotopes', 'while', 'using', 'fossils']",What has it now become possible to do when dating isotope well I actually meant dating isotopes while using fossils,"['What', 'has', 'it', 'now', 'become', 'possible', 'to', 'do', 'when', 'dating', 'isotopes', 'while', 'using', 'fossils']","['What', 'has', 'it', 'now', 'become', 'possible', 'to', 'do', 'when', 'dating', 'isotope', 'well', 'I', 'actually', 'meant', 'dating', 'isotopes', 'while', 'using', 'fossils']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Global internet was help funded by what foundation ,CSNet no no I meant Global internet was help funded by what foundation,"['CSNet', 'no', 'no', 'I', 'meant', 'Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']","['Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']",Global web no wait a minute Global internet was help funded by what foundation,"['Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']","['Global', 'web', 'no', 'wait', 'a', 'minute', 'Global', 'internet', 'was', 'help', 'funded', 'by', 'what', 'foundation']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What comedian is also a university graduate ,What photographer  no comedian is also a university graduate,"['What', 'photographer', 'no', 'comedian', 'is', 'also', 'a', 'university', 'graduate']","['What', 'comedian', 'is', 'also', 'a', 'university', 'graduate']",What comedian is also a polytechnic well I actually mean also a university graduate,"['What', 'comedian', 'is', 'also', 'a', 'university', 'graduate']","['What', 'comedian', 'is', 'also', 'a', 'polytechnic', 'well', 'I', 'actually', 'mean', 'also', 'a', 'university', 'graduate']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Public and private funding led to what development ,Public and private funding led to what program no um development,"['Public', 'and', 'private', 'funding', 'led', 'to', 'what', 'program', 'no', 'um', 'development']","['Public', 'and', 'private', 'funding', 'led', 'to', 'what', 'development']",Public and private investment sorry private funding led to what development,"['Public', 'and', 'private', 'funding', 'led', 'to', 'what', 'development']","['Public', 'and', 'private', 'investment', 'sorry', 'private', 'funding', 'led', 'to', 'what', 'development']","['F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How did the black death make it to the Mediterranean and Europe,How did the black death make it to the Mediterranean and America oops I mean Europe,"['How', 'did', 'the', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'America', 'oops', 'I', 'mean', 'Europe']","['How', 'did', 'the', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'Europe']",How did the black demise well I actually mean black death make it to the Mediterranean and Europe,"['How', 'did', 'the', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'Europe']","['How', 'did', 'the', 'black', 'demise', 'well', 'I', 'actually', 'mean', 'black', 'death', 'make', 'it', 'to', 'the', 'Mediterranean', 'and', 'Europe']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What is the process by which the antigenantibody complex is processed in to peptides,What is the process by which the antigenantibody complex is binding no I mean processed in to peptides,"['What', 'is', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'binding', 'no', 'I', 'mean', 'processed', 'in', 'to', 'peptides']","['What', 'is', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'processed', 'in', 'to', 'peptides']",What is the way no sorry the process by which the antigenantibody complex is processed in to peptides,"['What', 'is', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'processed', 'in', 'to', 'peptides']","['What', 'is', 'the', 'way', 'no', 'sorry', 'the', 'process', 'by', 'which', 'the', 'antigenantibody', 'complex', 'is', 'processed', 'in', 'to', 'peptides']","['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What does rebellion require in Christian Bays encyclopedia,What does civil disobedience require in Christian Bays encyclopedia sorry no rebellion,"['What', 'does', 'civil', 'disobedience', 'require', 'in', 'Christian', 'Bays', 'encyclopedia', 'sorry', 'no', 'rebellion']","['What', 'does', 'rebellion', 'require', 'in', 'Christian', 'Bays', 'encyclopedia']",What does rebellion require in Christian Bays guidebook I mean Bays encyclopedia,"['What', 'does', 'rebellion', 'require', 'in', 'Christian', 'Bays', 'encyclopedia']","['What', 'does', 'rebellion', 'require', 'in', 'Christian', 'Bays', 'guidebook', 'I', 'mean', 'Bays', 'encyclopedia']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
After which decade did modern styles give way to Gothic styles on campus,After which decade did Ludwig Mies van der Rohe excuse me I mean modern styles give way to Gothic styles on campus,"['After', 'which', 'decade', 'did', 'Ludwig', 'Mies', 'van', 'der', 'Rohe', 'excuse', 'me', 'I', 'mean', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'campus']","['After', 'which', 'decade', 'did', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'campus']",After which decade did modern styles give way to Gothic styles on grounds well I actually mean on campus,"['After', 'which', 'decade', 'did', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'campus']","['After', 'which', 'decade', 'did', 'modern', 'styles', 'give', 'way', 'to', 'Gothic', 'styles', 'on', 'grounds', 'well', 'I', 'actually', 'mean', 'on', 'campus']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
What is the name of one algebraic generalization Goldbachs conjecture has inspired,What is the name of one algebraic generalization that prime numbers no Goldbachs conjecture has inspired,"['What', 'is', 'the', 'name', 'of', 'one', 'algebraic', 'generalization', 'that', 'prime', 'numbers', 'no', 'Goldbachs', 'conjecture', 'has', 'inspired']","['What', 'is', 'the', 'name', 'of', 'one', 'algebraic', 'generalization', 'Goldbachs', 'conjecture', 'has', 'inspired']",What is the name of one algebraic generalisation sorry generalization Goldbachs conjecture has inspired,"['What', 'is', 'the', 'name', 'of', 'one', 'algebraic', 'generalization', 'Goldbachs', 'conjecture', 'has', 'inspired']","['What', 'is', 'the', 'name', 'of', 'one', 'algebraic', 'generalisation', 'sorry', 'generalization', 'Goldbachs', 'conjecture', 'has', 'inspired']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What year did Hoesung Lee become President,When did no what year did Hoesung Lee become President,"['When', 'did', 'no', 'what', 'year', 'did', 'Hoesung', 'Lee', 'become', 'President']","['What', 'year', 'did', 'Hoesung', 'Lee', 'become', 'President']",What days well I actually mean year did Hoesung Lee become President,"['What', 'year', 'did', 'Hoesung', 'Lee', 'become', 'President']","['What', 'days', 'well', 'I', 'actually', 'mean', 'year', 'did', 'Hoesung', 'Lee', 'become', 'President']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What happens when tyrosinase is expressed at low levels,What happens when tyrosinase is expressed at normal scratch that low levels,"['What', 'happens', 'when', 'tyrosinase', 'is', 'expressed', 'at', 'normal', 'scratch', 'that', 'low', 'levels']","['What', 'happens', 'when', 'tyrosinase', 'is', 'expressed', 'at', 'low', 'levels']",What happens when tyrosinase is expressed at low level no sorry at low levels,"['What', 'happens', 'when', 'tyrosinase', 'is', 'expressed', 'at', 'low', 'levels']","['What', 'happens', 'when', 'tyrosinase', 'is', 'expressed', 'at', 'low', 'level', 'no', 'sorry', 'at', 'low', 'levels']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
What do partnering and construction management emphasize for the designbuild process,What helpser er what do partnering and construction management emphasize for the designbuild process,"['What', 'helpser', 'er', 'what', 'do', 'partnering', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']","['What', 'do', 'partnering', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']",What do partnering and manufacture no and construction management emphasize for the designbuild process,"['What', 'do', 'partnering', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']","['What', 'do', 'partnering', 'and', 'manufacture', 'no', 'and', 'construction', 'management', 'emphasize', 'for', 'the', 'designbuild', 'process']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What is the main goal of criminal punishment of civil disobedients,What is the deterrent no main goal of criminal punishment of civil disobedience,"['What', 'is', 'the', 'deterrent', 'no', 'main', 'goal', 'of', 'criminal', 'punishment', 'of', 'civil', 'disobedience']","['What', 'is', 'the', 'main', 'goal', 'of', 'criminal', 'punishment', 'of', 'civil', 'disobedients']",What is the main pinpoint I mean main goal of criminal punishment of civil disobedients,"['What', 'is', 'the', 'main', 'goal', 'of', 'criminal', 'punishment', 'of', 'civil', 'disobedients']","['What', 'is', 'the', 'main', 'pinpoint', 'I', 'mean', 'main', 'goal', 'of', 'criminal', 'punishment', 'of', 'civil', 'disobedients']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What are the first buildings the university built knows as today,Which or rather what are the first buildings the university built knows as today,"['Which', 'or', 'rather', 'what', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'today']","['What', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'today']",What are the first buildings the university built knows as now wait today,"['What', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'today']","['What', 'are', 'the', 'first', 'buildings', 'the', 'university', 'built', 'knows', 'as', 'now', 'wait', 'today']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F']",noun_with_cue,2,N/A
What debate lasts for 55 minutes,What does er  what debate lasts for 55 minutes,"['What', 'does', 'er', 'what', 'debate', 'lasts', 'for', '55', 'minutes']","['What', 'debate', 'lasts', 'for', '55', 'minutes']",What debate lasts for 55 minute wait a minute minutes,"['What', 'debate', 'lasts', 'for', '55', 'minutes']","['What', 'debate', 'lasts', 'for', '55', 'minute', 'wait', 'a', 'minute', 'minutes']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F']",noun_with_cue,2,N/A
Brownlee argues disobedience can be justified toward what institutions,Brownlee argues opposition or maybe disobedience can be justified toward what institutions,"['Brownlee', 'argues', 'opposition', 'or', 'maybe', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institutions']","['Brownlee', 'argues', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institutions']",Brownlee argues disobedience can be justified toward what institution no institutions,"['Brownlee', 'argues', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institutions']","['Brownlee', 'argues', 'disobedience', 'can', 'be', 'justified', 'toward', 'what', 'institution', 'no', 'institutions']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F']",noun_with_cue,2,N/A
The Rhine forms the border between Austria and what other country ,The Rhine joins no um forms the border between Liechtenstein no um Austria and what other country,"['The', 'Rhine', 'joins', 'no', 'um', 'forms', 'the', 'border', 'between', 'Liechtenstein', 'no', 'um', 'Austria', 'and', 'what', 'other', 'country']","['The', 'Rhine', 'forms', 'the', 'border', 'between', 'Austria', 'and', 'what', 'other', 'country']",The Rhine forms the borderline well I actually mean the border between Austria and what other country,"['The', 'Rhine', 'forms', 'the', 'border', 'between', 'Austria', 'and', 'what', 'other', 'country']","['The', 'Rhine', 'forms', 'the', 'borderline', 'well', 'I', 'actually', 'mean', 'the', 'border', 'between', 'Austria', 'and', 'what', 'other', 'country']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What provides chemical protection to pathogens,What provides respiratory tract secrete antimicrobial peptides no um chemical protection to pathogens,"['What', 'provides', 'respiratory', 'tract', 'secrete', 'antimicrobial', 'peptides', 'no', 'um', 'chemical', 'protection', 'to', 'pathogens']","['What', 'provides', 'chemical', 'protection', 'to', 'pathogens']",What provides chemical secureness no wait protection to pathogens,"['What', 'provides', 'chemical', 'protection', 'to', 'pathogens']","['What', 'provides', 'chemical', 'secureness', 'no', 'wait', 'protection', 'to', 'pathogens']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,2,N/A
What network was designed by the french ,What network was directed no designed by the french,"['What', 'network', 'was', 'directed', 'no', 'designed', 'by', 'the', 'french']","['What', 'network', 'was', 'designed', 'by', 'the', 'french']",What intranet well I actually meant What network was designed by the french,"['What', 'network', 'was', 'designed', 'by', 'the', 'french']","['What', 'intranet', 'well', 'I', 'actually', 'meant', 'What', 'network', 'was', 'designed', 'by', 'the', 'french']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How much bandwidth is dedicated for each communication session,How  is packet switching characterized no wait just tell me how much bandwidth is dedicated for each communication session,"['How', 'is', 'packet', 'switching', 'characterized', 'no', 'wait', 'just', 'tell', 'me', 'how', 'much', 'bandwidth', 'is', 'dedicated', 'for', 'each', 'communication', 'session']","['How', 'much', 'bandwidth', 'is', 'dedicated', 'for', 'each', 'communication', 'session']",How much information no wait How much bandwidth is dedicated for each communication session,"['How', 'much', 'bandwidth', 'is', 'dedicated', 'for', 'each', 'communication', 'session']","['How', 'much', 'information', 'no', 'wait', 'How', 'much', 'bandwidth', 'is', 'dedicated', 'for', 'each', 'communication', 'session']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What decreases with the increase of income inequality,What type of rates  no actually I want to ask what decreases with the increase of income inequality,"['What', 'type', 'of', 'rates', 'no', 'actually', 'I', 'want', 'to', 'ask', 'what', 'decreases', 'with', 'the', 'increase', 'of', 'income', 'inequality']","['What', 'decreases', 'with', 'the', 'increase', 'of', 'income', 'inequality']",What decreases with the increase of profit wait a minute increase of income inequality,"['What', 'decreases', 'with', 'the', 'increase', 'of', 'income', 'inequality']","['What', 'decreases', 'with', 'the', 'increase', 'of', 'profit', 'wait', 'a', 'minute', 'increase', 'of', 'income', 'inequality']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
